,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Code,Country
11,0.024747996727600738,0.023963998821783666,0.024604270122400053,0.02572504639771137,0.02759452366582824,0.030356831318511125,0.03618541272338222,0.039405773614206795,0.04045862887516377,0.035897283052314585,0.030950447101885978,0.029496548372726583,0.028564963710997197,0.029115257686161973,0.02394737069776182,0.023347685849380254,0.023265876409069672,0.02269004032015528,0.023798796674001844,0.023017135731941144,0.024422426911875197,0.024476835538011197,0.023014595958560303,0.02548528753374714,0.025487809042725074,0.02433970219135136,0.02530645810032589,0.026748790379814397,0.02476605177615608,0.021051419941179116,0.021572410148570635,0.02159017584109335,0.021183561408659256,0.02161434819352714,0.023151539127229403,0.020875644940064324,0.02049143279158225,0.018263850029880905,0.017817894810212072,0.019995075300709667,0.017517735592179635,0.018614141173653256,0.02013629321363312,0.021279535863907063,0.019584339232390155,0.019090929315177727,0.019086789355562152,0.020145877852424412,0.017678530789353407,0.02043547379734602,0.0202573192618297,0.01904356885306486,0.01695602017955185,0.015750226644478175,0.017570013638880798,0.01778921071359119,0.021824885354907612,0.020818260297500682,0.01862874204471231,AUS,Australia
12,0.013887964490027563,0.012449804654777293,0.012896540751766447,0.015041471096955862,0.017949287703379953,0.014298048061941186,0.01540916926042975,0.01526562622883376,0.014634289243618537,0.014221945396609698,0.012978902272056347,0.011718664572604514,0.011306887114806903,0.011143269743671346,0.012007726950430732,0.013647908637676977,0.013533730241799161,0.013325892463020768,0.014140511137943006,0.014200850754716587,0.014049612301231194,0.01364655255731096,0.013965148850615028,0.013754591157275876,0.013969411928961641,0.01494337352977327,0.014897851566426236,0.013989968505565106,0.01285407474859074,0.01219697400634268,0.011850664110231467,0.011473661385542445,0.010969581070321343,0.011109981970220896,0.010944348113832133,0.010611735453389485,0.010359929271189002,0.01017340475839768,0.00989552345364559,0.009781393027557735,0.009784347365254084,0.009064647488360502,0.008818850847197909,0.00910202976943315,0.008904102613119658,0.008501214294062668,0.007857728269581813,0.0090041034052402,0.0087073700879018,0.008333297826533593,0.008212326592865355,0.007908978373803648,0.007784638520329536,0.007508255642886605,0.007477801316981527,0.006980846404387125,0.007301986935171351,0.0075023618398576564,0.007392753799360637,AUT,Austria
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002217858832827857,0.01952160403784789,0.01325997241350882,0.021674258096225776,0.022541244541699444,0.023238164043976217,0.024123689581948212,0.02625097086570774,0.022678614292289234,0.02312020405055496,0.022433820395081232,0.02426495960415028,0.026294918404412553,0.022990186066486746,0.034175871910373246,0.02864114813212073,0.032911310307684634,0.033254920144168094,0.027911782191965172,0.046702183505648795,0.04658351417191022,0.045406860013483555,0.04554737272792605,0.0554579671137882,0.03689095949431029,0.037411933977895245,0.036273285711431846,AZE,Azerbaijan
14,,,0.03943793800174413,0.00434801292672836,0.004456375702201321,0.013544337763087765,0.013822497306823557,0.013326068841740904,0.014142233313318778,0.0175449137768131,,0.010396091071452774,0.014586439704751965,0.019462018537290886,0.02225123669196749,0.020269842274497987,0.022236241972231865,0.025487943967109173,0.0279131759968536,0.025559214309752106,0.0301865046825506,0.03095367497953314,0.03618708192126338,0.031737749889626146,0.03032833723103299,0.028018155212533938,0.028798371678474623,0.027207925813930858,0.03164762707025918,0.03402680728892937,0.03498127688836242,0.03662139331428241,0.03599734107884481,0.03863854944449931,0.045306334164621716,0.04209089839650099,0.05856386423848349,0.0635937518421835,0.06571711207235119,0.06258212309136059,0.04861829945211516,0.060710188724340815,0.05441042748097664,0.05532779782173028,0.04902706157378691,0.04436178556223588,0.03511730741393591,0.034145943008033135,0.027208923624378656,,,,0.025271699992634403,0.024824143916736607,0.022979406880703653,0.021313198695404212,0.022456386894629757,0.02014589791462636,0.021546942499083243,BDI,Burundi
15,0.03286983152821195,0.03154953594565068,0.03183204832045224,0.03117817527374001,0.031143853662451454,0.02882441382300637,0.030204879642917248,0.03040803655977583,0.03023813795874008,0.028471442953014205,0.027999310921364668,0.02778924833751706,0.027589469299047032,0.02715577173429272,0.026454345966518328,0.02935011633803723,0.029665374660546768,0.030136609301640967,0.03127659944549283,0.031221821828379952,0.03121183264852471,0.032322883424162535,0.03139959685350039,0.030645809943435444,0.028883756002803008,0.028147360925936005,0.028364817863780322,0.02786578898961226,0.02524443584708527,0.023631153512045228,0.022618636878503243,0.0219679767877732,0.017596341432863025,0.01666969081092331,0.01610599189676853,0.015446595768702514,0.015192851694945688,0.014578464628595524,0.014173643083886522,0.013938905928959711,0.013508653682235186,0.012835118026261376,0.012238189029639258,0.012211471492523822,0.011566446544384346,0.010966139060024666,0.010560687483561053,0.010979616572325913,0.0122195926384819,0.011676986797657427,0.010904881471195794,0.010522181406224249,0.010417559565448209,0.010089597223598964,0.009709598383974612,0.009092428184665737,0.009065127588710477,0.008901850916122557,0.009139157719221835,BEL,Belgium
16,0.005751683236685149,0.00922145516519797,0.011565710222484373,0.011668960982084779,0.014097089602697444,0.013779936333277693,0.012294738809812217,0.012770320890721252,0.013158191558583294,0.012142127678561548,0.012286409334380714,0.01278933788450261,0.011951829678948712,0.013280570391267276,0.011624755832866582,0.011608823695539665,0.010252590636729708,0.01352889763213475,0.009208056352399786,0.014805568690919016,0.016806918160956256,0.013311012666821333,0.013058101263932977,0.016219453905813423,0.02020464486443903,0.018944230535458326,0.019667164437554036,0.02278716287281877,0.022793813411110933,0.01898824235939133,0.016743813230584756,,,,,,,,,0.004853893578909575,0.0041285239451882595,0.00357970850683425,0.006228197345953499,0.006472235475960356,0.006761496230890615,0.006809708090402105,0.006657234320398605,,0.00663959412402817,,,,0.007020964985080003,0.006870443962950145,0.0069999251468811806,0.00798162988943,0.00673218193881013,0.009143907998285131,0.006330258569590377,BEN,Benin
17,0.003838419732851534,0.004691412322124487,0.012914079501053168,0.013402897453419617,0.01305948970454662,0.008297920366795025,0.009005866248877854,0.008197613301128422,0.008167416229775534,0.008412483222301296,0.009131495199571274,0.00900366198145652,0.008551504838667427,0.009009328744595506,0.008346163995402809,0.019215841761633223,0.02000033921100512,0.020246875401111218,0.02193862407161766,0.01832014086877135,0.01833374034828721,0.019098479354677525,0.01873299326073967,0.01832040565563461,0.018472971871344137,0.01746005270987676,0.02513386296584337,0.021399189590753518,0.021860091264340516,0.025545495785335146,0.027235499259961743,0.022170503789625047,0.03174473900044342,0.025954763366358553,0.01596540797790419,0.015491714163460783,0.014359615476968813,0.015749368018708784,0.014080609008592966,0.0124051758957499,0.01239827001654941,0.011555142357494648,0.011779353150434433,0.010730558915394983,0.012070053087871424,0.012018950760711909,0.011103220094733236,0.014157256424835066,0.012429131636851089,0.013527655487079406,0.012235918597625517,0.011493994252883258,0.01176096725171404,0.012357380534742108,0.012706500742769166,0.012502767521481054,0.011656594803063204,0.013483917547599204,0.019288797309379126,BFA,Burkina Faso
18,,,,,,,,,,,,,,0.006010689833790474,0.005778098953928415,0.004156165817513271,0.010406894301866114,0.013316850126340521,0.010154599930065277,0.008753467935577092,0.009221242610954618,0.008597963933625474,0.009968722427535161,0.01316394172388987,0.012913674630724641,0.010097124303784783,0.011426289901886207,0.011865645606109091,0.012490895618649571,0.013160999555051263,0.011805158892449414,0.01233046298987684,0.01348908248792644,0.014202414982517193,0.01621081523191047,0.016344208278265708,0.013759252849851567,0.014134623051874911,0.014036046487554096,0.01438276530327626,0.013880478023593006,0.01306658346622366,0.01245916136241108,0.011959038610023193,0.01183625235637943,0.011141199289373906,0.011552400173379525,0.01197640509476742,0.011240921634965966,0.012283550795873161,0.014092974386354446,0.014004731574889129,0.013673389284498641,0.013654129693200599,0.013627471009253626,0.014431518912271447,0.014631964325366726,0.014392666795196147,0.014212188400219575,BGD,Bangladesh
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09420532572159132,0.03850896893585898,0.021215823093883517,0.024710934676792893,0.026101736751689617,0.024954421929528164,0.01639056681726891,0.017375346358750363,0.021595059795735283,0.021315648077444817,0.02621384494526911,0.026524808407679595,0.028625064413310572,0.027797033211014864,0.026912013249342344,0.02487769785171027,0.023416496597273833,0.02184399727274041,0.023244046153290964,0.019068178572568043,0.018524410275815178,0.01774045487981171,0.014452224119135968,0.01495042263752998,0.016182089769335942,0.01469181328798813,0.013052314684739684,0.014044914950039582,0.013981090224940203,0.016549501727807427,BGR,Bulgaria
20,,,,,,,,,,,,,,,,,,,,,0.05697478056273206,0.06902369812838408,0.08535161950160498,0.04913130162403878,0.04221995232686414,0.04588158182506736,0.05837762482739385,0.05253254294155109,0.05603045757919685,0.056446616649273834,0.05658953721680084,0.05703750647277754,0.05877742945678466,0.053700199448473374,0.051113019439332205,0.05183232026808764,0.052739399930061485,0.050684871996444864,0.0533310395183003,0.055031132955498385,0.03961674467835606,0.04148086694656374,0.0462968096816332,0.04658836299462327,0.04044931094469362,0.03214395160499917,0.031029967851171087,0.02956986615278417,0.028001613686965392,0.036105310636040125,0.0327775933226799,0.0359149722632162,0.03844577027125674,0.04141451788564458,0.0441858945936603,0.04632873408161101,0.046683050113103614,0.043268072098137336,0.03709736434499701,BHR,Bahrain
